00LU               20121204                                                                                   
0601LUA0d       20130101002700100000005000 0000059010002184   
0601LUA0d       20130101002705100000005000 0000059140002184   
0601LUA0d       20130101002710100000005000 0000059280002185   
0601LUA0d       20130101002715100000005000 0000059440002187   
0601LUA0d       20130101002720100000005000 0000059580002188   
0601LUA0d       20130101002725100000005000 0000059720002190   
0601LUA0d       20130101002730100000005000 0000059880002191   
0601LUA0d       20130101002735100000005000 0000060020002193   
0601LUA0d       20130101002740100000005000 0000060150002193   
0601LUA0d       20130101002745100000005000 0000060320002195   
0601LUA0d       20130101002750100000005000 0000060450002196   
0601LUA0d       20130101002755100000005000 0000060620002198   
0601LUA0d       20130101002760100000005000 0000060750002199   
0601LUA0d       20130101002765100000005000 0000060890002200   
0601LUA0d       20130101002770100000005000 0000061050002202   
0601LUA0d       20130101002775100000005000 0000061190002203   
0601LUA0d       20130101002780100000005000 0000061330002204   
0601LUA0d       20130101002785100000005000 0000061490002206   
0601LUA0d       20130101002790100000005000 0000061630002207   
